Dish_ID,Dish_Name,Category,Cuisine,Serving_Size_g,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Ayurvedic_Rasa,Ayurvedic_Virya,Ayurvedic_Guna,Notes,Vata_Effect,Pitta_Effect,Kapha_Effect,Agni_Effect,Food_Guna_Category,Suitable_Conditions,Best_Season,Avoid_For
1,Classic Moong Dal Khichdi,Healing Meals,Indian,300,350,15.0,60.0,5.0,8.0,"Sweet, Astringent",Neutral,Easy,"Tridoshic, the ultimate food for detoxification and digestive reset.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
2,Vegetable Masala Khichdi,Healing Meals,Indian,350,400,16.0,65.0,9.0,11.0,"Sweet, Astringent, Pungent",Hot,Easy,Nourishing and more flavorful. Spices kindle digestive fire (agni).,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
3,Palak Khichdi (Spinach Kitchari),Healing Meals,Indian,350,380,17.0,62.0,8.0,12.0,"Sweet, Astringent, Bitter",Cold,Easy,Iron-rich and purifying. Excellent for Pitta dosha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
4,Millet Khichdi (Foxtail/Kodo),Healing Meals,Indian,300,390,12.0,70.0,8.0,10.0,"Sweet, Astringent",Hot,Moderate,Lighter and less Kapha-aggravating than rice-based khichdi.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
5,Kanji (Simple Rice Gruel),Healing Meals,Indian,300,150,3.0,32.0,1.0,1.0,Sweet,Cold,Easy,Extremely light and hydrating. Prescribed during fever and weak digestion.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
6,Simple Moong Dal (No Tadka),Lentils (Dal),Indian,250,220,14.0,35.0,3.0,9.0,"Sweet, Astringent",Cold,Easy,Boiled moong dal is very light and pacifies Pitta. Ideal for sensitive guts.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
7,Moong Dal Tadka with Ghee & Cumin,Lentils (Dal),Indian,250,280,14.0,36.0,9.0,9.0,"Sweet, Astringent, Pungent",Neutral,Easy,Ghee and cumin make it Vata-pacifying and aid digestion.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
8,Masoor Dal Soup (Red Lentil),Lentils (Dal),Indian,250,250,15.0,38.0,4.0,10.0,"Sweet, Astringent",Hot,Easy,Warming and light. Excellent for Kapha and Vata constitutions.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
9,Toor Dal with Ginger & Turmeric,Lentils (Dal),Indian,250,300,14.0,40.0,9.0,11.0,"Sweet, Astringent, Pungent",Hot,Moderate,"Slightly heavier than moong, but ginger and turmeric make it digestible.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
10,Dal Palak (Lentils with Spinach),Lentils (Dal),Indian,280,320,18.0,42.0,9.0,13.0,"Sweet, Astringent, Bitter",Cold,Easy,Highly nutritious and cooling. Great for Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
